SL NO,DATE,DEVICE ID,MSISDN,SIM IMEI NUMBER,SIM TYPE,STATUS,REGION,BRANCH,BR CODE
1,20.02.2025,861657073577012,915755090627159,8991462160511040086,Vodafone (VI),PINGING,MML HUBLI,CHIKERUR,MML0783
2,20.02.2025,861657072355857,915755090627160,8991462160511040094,Vodafone (VI),PINGING,MML HUBLI,RAMGIRI,MML0560
3,20.02.2025,861657073573391,915755090627161,8991462160511040102,Vodafone (VI),PINGING,MML HUBLI,DHARMAPUR,MML0630
4,20.02.2025,861657073561735,915755090643900,8991462160511038650,Vodafone (VI),PINGING,MML HUBLI,YAMANAKANMARDI,MML0550
5,20.02.2025,861657073577137,915755090627157,8991462160511040060,Vodafone (VI),PINGING,MML HUBLI,MARAYAMMANAHALLI,MML0561
6,20.02.2025,861657073577327,915755090643949,8991462160511039146,Vodafone (VI),PINGING,MML HUBLI,KUKNOOR,MML0824
7,20.02.2025,861657072374395,915755090643948,8991462160511039138,Vodafone (VI),NOT PINGING/IN BRANCH,MML HUBLI,YELBURGI,MML0627
8,20.02.2025,861657073557956,915755090643947,8991462160511039120,Vodafone (VI),PINGING,MML HUBLI,KANAKAGIRI,MML0664
9,20.02.2025,861657073573185,915755090643946,8991462160511039112,Vodafone (VI),PINGING,MML HUBLI,HUNNUR,MML0663
10,20.02.2025,861657073572930,915755090643945,8991462160511039104,Vodafone (VI),PINGING,MML HUBLI,BELAGUR,MML0782
11,20.02.2025,861657073557675,915755090643944,8991462160511039096,Vodafone (VI),PINGING,MML HUBLI,SAVALANKA,MML0628
12,20.02.2025,861657072337129,915755090643943,8991462160511039088,Vodafone (VI),PINGING,MML HUBLI,BELAVADI,MML0629
13,20.02.2025,861657073584273,915755090643941,8991462160511039062,Vodafone (VI),PINGING,MML HUBLI,KUDACHI,MML0665
14,20.02.2025,861657073582665,915755090638421,8991462160511038361,Vodafone (VI),PINGING,MML HUBLI,SHINDOLI CROSS SAMBRA ROAD,MML0784
15,20.02.2025,861657073585049,915755090638422,8991462160511038379,Vodafone (VI),PINGING,MML HUBLI,BELLATI,MML0785
16,20.02.2025,861657073557162,915755090638423,8991462160511038387,Vodafone (VI),PINGING,MML BANGALORE,DODDALADAMARA,MML0540
17,20.02.2025,861657073571726,915755090638424,8991462160511038395,Vodafone (VI),PINGING,MML HUBLI,MOKA,MML0832
18,20.02.2025,861657073576659,915755090638425,8991462160511038403,Vodafone (VI),PINGING,MML HUBLI,NALLUR,MML0841
19,20.02.2025,861657072355469,915755090638427,8991462160511038429,Vodafone (VI),PINGING,MML HUBLI,SHAMANUR,MML0924
20,20.02.2025,861657073574555,915755090638426,8991462160511038411,Vodafone (VI),PINGING,MML BANGALORE,DODDALAHALLI,MML0503
21,20.02.2025,861657072355519,915755090638428,8991462160511038437,Vodafone (VI),PINGING,MML BANGALORE,ALIPURA,MML0539
22,20.02.2025,861657073574357,915755090643880,8991462160511038452,Vodafone (VI),PINGING,MML BANGALORE,CHELUR,MML0541
